1,18,2
18,19,2
2,19,3
19,20,3
3,20,4
20,21,4
4,21,5
21,22,5
5,22,6
22,23,6
6,23,7
23,24,7
7,24,8
24,25,8
8,25,9
25,26,9
9,26,10
26,27,10
10,27,11
27,28,11
11,28,12
28,29,12
12,29,13
29,30,13
13,30,14
30,31,14
14,31,15
31,32,15
15,32,16
32,33,16
16,33,17
33,34,17
18,35,19
35,36,19
19,36,20
36,37,20
20,37,21
37,38,21
21,38,22
38,39,22
22,39,23
39,40,23
23,40,24
40,41,24
24,41,25
41,42,25
25,42,26
42,43,26
26,43,27
43,44,27
27,44,28
44,45,28
28,45,29
45,46,29
29,46,30
46,47,30
30,47,31
47,48,31
31,48,32
48,49,32
32,49,33
49,50,33
33,50,34
50,51,34
35,52,36
52,53,36
36,53,37
53,54,37
37,54,38
54,55,38
38,55,39
55,56,39
39,56,40
56,57,40
40,57,41
57,58,41
41,58,42
58,59,42
42,59,43
59,60,43
43,60,44
60,61,44
44,61,45
61,62,45
45,62,46
62,63,46
46,63,47
63,64,47
47,64,48
64,65,48
48,65,49
65,66,49
49,66,50
66,67,50
50,67,51
67,68,51
52,69,53
69,70,53
53,70,54
70,71,54
54,71,55
71,72,55
55,72,56
72,73,56
56,73,57
73,74,57
57,74,58
74,75,58
58,75,59
75,76,59
59,76,60
76,77,60
60,77,61
77,78,61
61,78,62
78,79,62
62,79,63
79,80,63
63,80,64
80,81,64
64,81,65
81,82,65
65,82,66
82,83,66
66,83,67
83,84,67
67,84,68
84,85,68
69,86,70
86,87,70
70,87,71
87,88,71
71,88,72
88,89,72
72,89,73
89,90,73
73,90,74
90,91,74
74,91,75
91,92,75
75,92,76
92,93,76
76,93,77
93,94,77
77,94,78
94,95,78
78,95,79
95,96,79
79,96,80
96,97,80
80,97,81
97,98,81
81,98,82
98,99,82
82,99,83
99,100,83
83,100,84
100,101,84
84,101,85
101,102,85
86,103,87
103,104,87
87,104,88
104,105,88
88,105,89
105,106,89
89,106,90
106,107,90
90,107,91
107,108,91
91,108,92
108,109,92
92,109,93
109,110,93
93,110,94
110,111,94
94,111,95
111,112,95
95,112,96
112,113,96
96,113,97
113,114,97
97,114,98
114,115,98
98,115,99
115,116,99
99,116,100
116,117,100
100,117,101
117,118,101
101,118,102
118,119,102
103,120,104
120,121,104
104,121,105
121,122,105
105,122,106
122,123,106
106,123,107
123,124,107
107,124,108
124,125,108
108,125,109
125,126,109
109,126,110
126,127,110
110,127,111
127,128,111
111,128,112
128,129,112
112,129,113
129,130,113
113,130,114
130,131,114
114,131,115
131,132,115
115,132,116
132,133,116
116,133,117
133,134,117
117,134,118
134,135,118
118,135,119
135,136,119
120,137,121
137,138,121
121,138,122
138,139,122
122,139,123
139,140,123
123,140,124
140,141,124
124,141,125
141,142,125
125,142,126
142,143,126
126,143,127
143,144,127
127,144,128
144,145,128
128,145,129
145,146,129
129,146,130
146,147,130
130,147,131
147,148,131
131,148,132
148,149,132
132,149,133
149,150,133
133,150,134
150,151,134
134,151,135
151,152,135
135,152,136
152,153,136
137,154,138
154,155,138
138,155,139
155,156,139
139,156,140
156,157,140
140,157,141
157,158,141
141,158,142
158,159,142
142,159,143
159,160,143
143,160,144
160,161,144
144,161,145
161,162,145
145,162,146
162,163,146
146,163,147
163,164,147
147,164,148
164,165,148
148,165,149
165,166,149
149,166,150
166,167,150
150,167,151
167,168,151
151,168,152
168,169,152
152,169,153
169,170,153
154,171,155
171,172,155
155,172,156
172,173,156
156,173,157
173,174,157
157,174,158
174,175,158
158,175,159
175,176,159
159,176,160
176,177,160
160,177,161
177,178,161
161,178,162
178,179,162
162,179,163
179,180,163
163,180,164
180,181,164
164,181,165
181,182,165
165,182,166
182,183,166
166,183,167
183,184,167
167,184,168
184,185,168
168,185,169
